+-----+------------+------------------------------------------------------------------+-------------------------------------------+----------+
| ID  |    CODE    |                               NAME                               |                  COURSE                   | SEMESTER |
+-----+------------+------------------------------------------------------------------+-------------------------------------------+----------+
| 417 | 24BALGEN1L | Basic English                                                    | BA - Bachelor of Arts                     | 1        |
| 420 | 24BALGHN1L | Kahani Kunja Aur Vyakaran (Hindi)                                | BA - Bachelor of Arts                     | 1        |
| 419 | 24BALGKA1L | ಕಲಾ ಸೌರಭ (Kannada)                                               | BA - Bachelor of Arts                     | 1        |
| 418 | 24CVCOMM1L | Constitutional Values                                            | BA - Bachelor of Arts                     | 1        |
| 421 | 24MJECO1LT | Principles of Microeconomics                                     | BA - Bachelor of Arts                     | 1        |
| 425 | 24MJENG1LT | Chaucer to Milton Age                                            | BA - Bachelor of Arts                     | 1        |
| 422 | 24MJHSA1LT | History of Ancient India-Part-I (Early Times to the Shatavahans) | BA - Bachelor of Arts                     | 1        |
| 423 | 24MJKAN1LT | ಪ್ರಾಚೀನ ಮತ್ತು ಮಧ್ಯಕಾಲಿನ ಕನ್ನಡ ಸಾಹಿತ್ಯ ಚರಿತ್ರೆ                    | BA - Bachelor of Arts                     | 1        |
| 424 | 24MJPOS1LT | Basic Principles of Political Science                            | BA - Bachelor of Arts                     | 1        |
| 426 | 24BALGEN3L | Basic English                                                    | BA - Bachelor of Arts                     | 3        |
| 429 | 24BALGHN3L | Hindi                                                            | BA - Bachelor of Arts                     | 3        |
| 428 | 24BALGKA3L | ಕಲಾ ಸೌರಭ - 2 (Kannada)                                           | BA - Bachelor of Arts                     | 3        |
| 431 | 24MJECO3LT | Elementary Statistics for Economics                              | BA - Bachelor of Arts                     | 3        |
| 434 | 24MJENG3LT | Victorian to Modern Period                                       | BA - Bachelor of Arts                     | 3        |
| 427 | 24MJHSA3EL | Concise History of Karnataka(Early to 1565 CE)                   | BA - Bachelor of Arts                     | 3        |
| 430 | 24MJHSA3LT | History of Medieval India-Part-I(From 1206 CE -1526 CE)          | BA - Bachelor of Arts                     | 3        |
| 432 | 24MJKAN3LT | ಭಾರತೀಯ ಮತ್ತು ಪಾಶ್ಚಾತ್ಯ ಕಾವ್ಯ ಮೀಮಾಂಸೆ                             | BA - Bachelor of Arts                     | 3        |
